,Date,Open,High,Close,Adj Close,Volume,compound,subjectivity,polarity,rsi,stocastic_oscillator,mfi,macd,ema,vwap,obv,bbands_upper,bbands_lower,chaikin,target
70,8/4/2022,166.0099945,167.1900024,165.8099976,165.053772,55474100,-0.1779,0.45144701,0.139816819,70.18381262,93.2649853,0.18687623,5.295586802,157.5912111,156.5800412,617345200,167.8510306,145.7503967,-1817876.032,163.2100067
71,8/5/2022,163.2100067,165.8500061,165.3500061,164.8245087,56697000,0,0.439434889,0.121334971,69.17477536,90.92703921,0.300468705,5.441236552,158.6257171,157.7362953,560648200,168.5524602,147.6603956,6239155.411,166.3699951
72,8/8/2022,166.3699951,167.8099976,164.8699951,164.3460236,60276900,0.9246,0.493044077,0.143292011,68.0749003,83.1421902,0.1896833,5.455049735,159.4582875,158.9379589,500371300,169.2870794,148.9072043,-14802096.15,164.0200043
73,8/9/2022,164.0200043,165.8200073,164.9199982,164.3958588,63135500,-0.34,0.523964434,0.056666454,68.1317442,83.00999222,0.169358365,5.407695068,160.1865156,159.7677957,563506800,169.9536742,149.9377529,-3985630.468,167.6799927
74,8/10/2022,167.6799927,169.3399963,169.2400055,168.7021484,70170500,0,0.361647173,0.062475634,72.66082178,99.46067486,0.176031593,5.653583647,161.3936476,160.7843718,633677300,171.6555312,150.2201816,15280033.04,170.0599976
75,8/11/2022,170.0599976,170.9900055,168.4900055,167.9545288,57149200,-0.128,0.413157895,0.168530702,70.78010191,87.61763399,0.167400058,5.721974031,162.3398286,161.7328448,576528100,172.6216788,151.3111781,-13011984.23,169.8200073
76,8/12/2022,169.8200073,172.1699982,172.1000061,171.5530548,68039400,0.8261,0.417625313,0.180344612,74.23674988,99.67247505,0.261102047,5.998325816,163.6411856,162.8718727,644567500,173.9249712,152.7436013,11439038.45,171.5200043
77,8/15/2022,171.5200043,173.3899994,173.1900024,172.6395874,54091700,0,0.379411462,0.06743455,75.19105488,99.05795107,0.324183029,6.233435033,164.9143612,164.0602873,698659200,174.4190563,155.3338014,13683290.33,172.7799988
78,8/16/2022,172.7799988,173.7100067,173.0299988,172.4800873,56377100,0.3818,0.445840271,0.086911699,74.75332456,96.47664338,0.285661807,6.333837289,165.9964462,165.3134698,642282100,175.3095538,156.7633048,5558730.792,172.7700043
79,8/17/2022,172.7700043,176.1499939,174.5500031,173.9952698,79542000,0.8258,0.291869563,0.050287558,76.17244576,90.39044185,0.223711878,6.461573446,167.1369205,166.8617896,721824100,176.1590355,158.3709655,-1621440.11,173.75
80,8/18/2022,173.75,174.8999939,174.1499939,173.5965271,62290100,0.3612,0.306249098,0.087210047,74.97802026,87.89345442,0.192434784,6.456105904,168.0719969,167.9309152,659534000,177.2300205,158.9628375,-3980159.711,173.0299988
81,8/19/2022,173.0299988,173.7400055,171.5200043,170.9748993,70346300,0.4118,0.433194444,0.156407828,67.48530594,71.97340979,0.167888763,6.168448619,168.5317312,168.7145362,589187700,177.3162403,160.3066191,-26215083.46,169.6900024
82,8/22/2022,169.6900024,169.8600006,167.5700073,167.0374603,69026800,0,0.376819728,0.111717687,58.09515583,44.2857794,0.16214051,5.55768092,168.4035014,169.2060912,520160900,176.3851203,162.3177409,-29432589.27,167.0800018
83,8/23/2022,167.0800018,168.7100067,167.2299957,166.6985321,54147100,0.4215,0.403064987,0.097266599,57.35534807,32.16728282,0.061123326,4.988700391,168.247034,169.5463851,466013800,176.3415082,162.5184946,-20581508.74,167.3200073
84,8/24/2022,167.3200073,168.1100006,167.5299988,166.9975739,53841500,0.383,0.518378685,0.123755669,57.86519125,34.44867591,0.084391411,4.509998507,168.1514293,169.6448212,519855300,176.260754,162.8449633,-1115202.273,168.7799988
85,8/25/2022,168.7799988,170.1399994,170.0299988,169.489624,51218200,0.5267,0.428210678,0.157575758,61.94791098,52.55815494,0.094259921,4.282981377,168.4019052,169.956889,571073500,176.17738,163.5969076,14796138.05,170.5700073
86,8/26/2022,170.5700073,171.0500031,163.6199951,163.0999908,78961000,0.6486,0.33394221,0.05617895,48.87200831,2.86818056,0.047482104,3.544970726,167.7643172,169.9058117,492112500,176.3982588,163.1974574,-19054966.99,161.1499939
87,8/29/2022,161.1499939,162.8999939,161.3800049,160.8671265,73314000,-0.4404,0.374909699,0.084890799,45.27550206,9.552962899,0.026951873,2.747670046,166.9130755,169.5774339,418798500,177.0787377,162.0112651,-6146408.898,162.1300049
88,8/30/2022,162.1300049,162.5599976,158.9100037,158.4049835,77906200,-0.743,0.363533172,0.116301092,41.63689857,6.456879622,-0.088054605,1.894654658,165.8459993,168.8148368,340892300,178.1274481,159.4868403,-13208883.37,160.3099976
89,8/31/2022,160.3099976,160.5800018,157.2200012,156.7203369,87991100,-0.1531,0.372222222,0.079861111,39.30913032,0.420840895,-0.126769883,1.069931243,164.6958662,167.8038541,252901200,179.0749829,156.9293048,-28993219.09,156.6399994
90,9/1/2022,156.6399994,158.4199982,157.9600067,157.4579926,74229900,0.4767,0.43365013,0.115793817,40.86802245,15.31661638,-0.13503574,0.470619248,163.7977516,166.7083281,327131100,178.9312492,155.0530386,11704526.48,159.75
91,9/2/2022,159.75,160.3600006,155.8099976,155.3148193,76957800,0.5423,0.391774892,0.079076954,37.82787467,5.307260784,-0.231676026,-0.175801072,162.7327177,165.6064538,250173300,178.4443436,153.0570864,-7389151.472,156.4700012
92,9/6/2022,156.4700012,157.0899963,154.5299988,154.0388794,73714800,0,0.407632198,0.085260729,36.10583786,3.739967308,-0.284803029,-0.782360471,161.6390219,164.4068577,176458500,177.657166,151.2014068,-9539387.02,154.8200073
93,9/7/2022,154.8200073,156.6699982,155.9600067,155.4643555,87449600,0.4404,0.401010101,0.196766912,39.42361649,11.03807818,-0.243772102,-1.134594576,160.8818199,162.8099044,263908100,175.7169951,150.4858639,17226363.29,154.6399994
94,9/8/2022,154.6399994,156.3600006,154.4600067,153.9691162,84923800,0.3182,0.420817962,0.111326307,37.23925408,8.452103299,-0.250724301,-1.517289735,160.0255781,161.4230885,178984300,173.4295005,149.9605032,10816156.82,155.4700012
95,9/9/2022,155.4700012,157.8200073,157.3699951,156.8698578,68028800,-0.6124,0.438551146,0.155945203,43.75060056,25.53075554,-0.146256395,-1.567695246,159.6715004,160.35327,247013100,171.2377967,150.1307771,23391265.2,159.5899963
96,9/12/2022,159.5899963,164.2599945,163.4299927,162.9105988,104956000,0,0.472628161,0.198501367,54.36799862,58.51929193,-0.029531075,-1.105902661,160.1726327,160.034959,351969100,170.3702617,150.4068815,33327837.25,159.8999939
97,9/13/2022,159.8999939,160.5399933,153.8399963,153.3510742,122656600,0,0.394628167,0.160706104,41.13536609,6.314659809,-0.102009102,-1.496510428,159.3282812,159.2187859,229312500,169.1714839,149.6928023,-21766030.83,154.7899933
98,9/14/2022,154.7899933,157.1000061,155.3099976,154.8164063,87965400,0.6801,0.43355216,0.11105311,43.40906882,14.3168394,-0.118570928,-1.668222849,158.79251,158.5440558,317277900,167.386875,149.7316967,-9137010.498,154.6499939
99,9/15/2022,154.6499939,155.2400055,152.3699951,151.8857422,90481100,0.8935,0.464833306,0.115139433,40.07505042,5.032996068,-0.18946975,-2.018274396,157.9361747,157.6500779,226796800,163.9995708,150.5961433,-16440033.01,151.2100067
